Namespace(batch_size=5, epoch=10, log_dir='./logs', lr=0.005, lr_milestion=[2, 4, 6], num_workers=2, root='./', show_interval=1, snapshot_interval=1, test_interval=2)
[epoch:0, batch:193]	 [loss:0.8920729]	 [lr:0.0050000]
[epoch:0, batch:194]	 [loss:0.8941666]	 [lr:0.0050000]
[epoch:0, batch:195]	 [loss:0.9044154]	 [lr:0.0050000]
[epoch:0, batch:196]	 [loss:0.8913479]	 [lr:0.0050000]
[epoch:0, batch:197]	 [loss:0.8986772]	 [lr:0.0050000]
[epoch:0, batch:198]	 [loss:0.8957880]	 [lr:0.0050000]
[epoch:0, batch:199]	 [loss:0.8932258]	 [lr:0.0050000]
[epoch:0, batch:200]	 [loss:0.8944475]	 [lr:0.0050000]
[epoch:0, batch:201]	 [loss:0.8887247]	 [lr:0.0050000]
[epoch:0, batch:202]	 [loss:0.8976558]	 [lr:0.0050000]
[epoch:0, batch:203]	 [loss:0.8937624]	 [lr:0.0050000]
[epoch:0, batch:204]	 [loss:0.9252971]	 [lr:0.0050000]
[epoch:0, batch:205]	 [loss:0.8957949]	 [lr:0.0050000]
[epoch:0, batch:206]	 [loss:0.8888545]	 [lr:0.0050000]
[epoch:0, batch:207]	 [loss:0.9022636]	 [lr:0.0050000]
[epoch:0, batch:208]	 [loss:0.8891710]	 [lr:0.0050000]
[epoch:0, batch:209]	 [loss:0.9316649]	 [lr:0.0050000]
[epoch:0, batch:210]	 [loss:0.8924085]	 [lr:0.0050000]
[epoch:0, batch:211]	 [loss:0.9123259]	 [lr:0.0050000]
[epoch:0, batch:212]	 [loss:0.8911495]	 [lr:0.0050000]
[epoch:0, batch:213]	 [loss:0.8959796]	 [lr:0.0050000]
[epoch:0, batch:214]	 [loss:0.9194215]	 [lr:0.0050000]
[epoch:0, batch:215]	 [loss:0.9109932]	 [lr:0.0050000]
[epoch:0, batch:216]	 [loss:0.9003199]	 [lr:0.0050000]
[epoch:0, batch:217]	 [loss:0.9088604]	 [lr:0.0050000]
[epoch:0, batch:218]	 [loss:0.8901166]	 [lr:0.0050000]
[epoch:0, batch:219]	 [loss:0.8932108]	 [lr:0.0050000]
[epoch:0, batch:220]	 [loss:0.9044320]	 [lr:0.0050000]
[epoch:0, batch:221]	 [loss:0.9043005]	 [lr:0.0050000]
[epoch:0, batch:222]	 [loss:0.9067544]	 [lr:0.0050000]
[epoch:0, batch:223]	 [loss:0.8881996]	 [lr:0.0050000]
[epoch:0, batch:224]	 [loss:0.9482927]	 [lr:0.0050000]
[epoch:0, batch:225]	 [loss:0.8939769]	 [lr:0.0050000]
[epoch:0, batch:226]	 [loss:0.8923464]	 [lr:0.0050000]
[epoch:0, batch:227]	 [loss:0.9094895]	 [lr:0.0050000]
[epoch:0, batch:228]	 [loss:0.9135351]	 [lr:0.0050000]
[epoch:0, batch:229]	 [loss:0.9138309]	 [lr:0.0050000]
[epoch:0, batch:230]	 [loss:0.8874654]	 [lr:0.0050000]
[epoch:0, batch:231]	 [loss:0.9017683]	 [lr:0.0050000]
[epoch:0, batch:232]	 [loss:0.8937571]	 [lr:0.0050000]
[epoch:0, batch:233]	 [loss:0.9034326]	 [lr:0.0050000]
[epoch:0, batch:234]	 [loss:0.9108745]	 [lr:0.0050000]
[epoch:0, batch:235]	 [loss:0.8957667]	 [lr:0.0050000]
[epoch:0, batch:236]	 [loss:0.8952873]	 [lr:0.0050000]
[epoch:0, batch:237]	 [loss:0.9052719]	 [lr:0.0050000]
[epoch:0, batch:238]	 [loss:0.8971357]	 [lr:0.0050000]
[epoch:0, batch:239]	 [loss:0.9173458]	 [lr:0.0050000]
[epoch:0, batch:240]	 [loss:0.8948666]	 [lr:0.0050000]
[epoch:0, batch:241]	 [loss:0.9078166]	 [lr:0.0050000]
[epoch:0, batch:242]	 [loss:0.8897563]	 [lr:0.0050000]
[epoch:0, batch:243]	 [loss:0.9111185]	 [lr:0.0050000]
[epoch:0, batch:244]	 [loss:0.8955652]	 [lr:0.0050000]
[epoch:0, batch:245]	 [loss:0.8925982]	 [lr:0.0050000]
[epoch:0, batch:246]	 [loss:0.9270812]	 [lr:0.0050000]
[epoch:0, batch:247]	 [loss:0.8965671]	 [lr:0.0050000]
[epoch:0, batch:248]	 [loss:0.8989046]	 [lr:0.0050000]
[epoch:0, batch:249]	 [loss:0.8934585]	 [lr:0.0050000]
[epoch:0, batch:250]	 [loss:0.9081743]	 [lr:0.0050000]
[epoch:0, batch:251]	 [loss:0.8942232]	 [lr:0.0050000]
[epoch:0, batch:252]	 [loss:0.8905674]	 [lr:0.0050000]
[epoch:0, batch:253]	 [loss:0.9035500]	 [lr:0.0050000]
[epoch:0, batch:254]	 [loss:0.9059091]	 [lr:0.0050000]
[epoch:0, batch:255]	 [loss:0.8953324]	 [lr:0.0050000]
[epoch:0, batch:256]	 [loss:0.9049870]	 [lr:0.0050000]
[epoch:0, batch:257]	 [loss:0.9073198]	 [lr:0.0050000]
[epoch:0, batch:258]	 [loss:0.8878005]	 [lr:0.0050000]
[epoch:0, batch:259]	 [loss:0.9151547]	 [lr:0.0050000]
[epoch:0, batch:260]	 [loss:0.9025270]	 [lr:0.0050000]
[epoch:0, batch:261]	 [loss:0.8891175]	 [lr:0.0050000]
[epoch:0, batch:262]	 [loss:0.9252619]	 [lr:0.0050000]
[epoch:0, batch:263]	 [loss:0.8936393]	 [lr:0.0050000]
[epoch:0, batch:264]	 [loss:0.8996711]	 [lr:0.0050000]
[epoch:0, batch:265]	 [loss:0.9120967]	 [lr:0.0050000]
[epoch:0, batch:266]	 [loss:0.8928314]	 [lr:0.0050000]
[epoch:0, batch:267]	 [loss:0.8982655]	 [lr:0.0050000]
[epoch:0, batch:268]	 [loss:0.9034212]	 [lr:0.0050000]
[epoch:0, batch:269]	 [loss:0.8905454]	 [lr:0.0050000]
[epoch:0, batch:270]	 [loss:0.9165875]	 [lr:0.0050000]
[epoch:0, batch:271]	 [loss:0.8986958]	 [lr:0.0050000]
[epoch:0, batch:272]	 [loss:0.9009144]	 [lr:0.0050000]
[epoch:0, batch:273]	 [loss:0.8898408]	 [lr:0.0050000]
[epoch:0, batch:274]	 [loss:0.9063342]	 [lr:0.0050000]
[epoch:0, batch:275]	 [loss:0.8947538]	 [lr:0.0050000]
[epoch:0, batch:276]	 [loss:0.9178525]	 [lr:0.0050000]
[epoch:0, batch:277]	 [loss:0.9286839]	 [lr:0.0050000]
[epoch:0, batch:278]	 [loss:0.8978805]	 [lr:0.0050000]
